Type,Code,Code Section,Taxicab Rule Number,Violation Description,Penalty Schedule,City Penalty,Current State Fee,Fine/Penalty,Unit,Additional Cost,Late Penalty Charge,Comments,Notes
Administrative Citation Fine,SMMC,4.04.070,,Permit required to keep certain animals,,,,$500.00,,,,Santa Monica Municipal Code (SMMC) ,
Administrative Citation Fine,SMMC,4.04.080,,"Restrictions on keeping horses, mules, burros, or jacks",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.090,,"Fowls, maximum number permitted",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.100,,"Permit required to keep hogs, bulls, or billy goats",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.110,,Restrictions on keeping cow or goats,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.120,,Staking certain unfenced animals prohibited,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.130,,Keeping bees prohibited,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.140,,Conditional permit requirements for certain animals,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.150,,Animals at - large,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.160,,"Dogs prohibited on schools, beaches and parks",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.170,,Licensing of dogs required,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.200,,"Dog kennels, business license required",,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.210,,"Non-residents, dog license requirements",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.230,,"Found animals, duty to surrender",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.270,,Sufficient sustenance and shelter required,,,,$150.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.290,,"Quarantined animal, containment required",,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.300,,"Dogs, rabies vaccine required",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.330,,"Veterinarians, duties of persons vaccinating dogs",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.340,,"Dogs, rabies tag required",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.350,,"Imported dogs, regulations",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,F&AG,30503,,"Impounded dogs, unspayed/unneutered (pass through to State)",,,,$40.00,,,,Food and Agricultural Code (F&AG),
Administrative Citation Fine,SMMC,4.04.360,,"Impounded dogs, proof of rabies required",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.370,,"Dogs, public nuisance/fecal matter",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.385,,"Dogs in public, duty of person to possess clean-up materials",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.04.410,,"Vicious dogs, restrictions",,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.08.270,,Restrictions on leaf blower operation,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.12.060,,Exterior Noise Standards,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.070,,Excessive Vibration,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.090,,Noisy Animals,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.100,,"Public parks, beaches or recreational facilities restrictions",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.110,,"Demolition, excavation, grading, spray painting, construction, maintenance or repair of building activity-hours & noise limits",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.120,,Failure to Post Construction Hours Sign,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.150,,Business Support Operations,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.160,,Interference with Enforcement,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.12.180,,Gardening/Landscaping Activities - Hours of Operation,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.44.010,,Smoking in Elevator or Public Restroom,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC, 4.44.020,,"Smoking in public places, work places, and restaurants",,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
